Time,phi,theta,psi,p,q,r,phi_dot,theta_dot,psi_dot,V_NED_x,V_NED_y,V_NED_z,Pos_NED_x,Pos_NED_y,Pos_NED_z
0.000000,0.000000,0.716197,0.000000,900.000000,57.295780,0.000000,0.000000,57.295780,0.000000,101.260689,0.000000,-1.242046,1.265759,0.000000,-0.015526
0.012500,0.004806,1.432181,0.255934,900.000000,57.279453,20.468851,0.384511,57.278690,20.474717,101.236763,0.674679,-2.351533,2.531218,0.008433,-0.044920
0.025000,0.020762,2.147453,0.764418,900.000000,57.230483,40.646402,1.276430,57.221795,40.678743,101.194169,1.946787,-3.122280,3.796145,0.032768,-0.083948
0.037500,0.054021,2.861334,1.518668,900.000000,57.148896,60.245499,2.660749,57.110424,60.339995,101.127364,3.681473,-3.380205,5.060237,0.078787,-0.126201
0.050000,0.110427,3.572869,2.508583,900.000000,57.034741,78.987219,4.512439,56.922836,79.193221,101.028604,5.698319,-2.998715,6.323095,0.150016,-0.163685
0.062500,0.195381,4.280774,3.720874,900.000000,56.888080,96.604841,6.796379,56.632389,96.983274,100.889016,7.787454,-1.909960,7.584208,0.247359,-0.187559
0.075000,0.313724,4.983403,5.139227,900.000000,56.709000,112.847643,9.467410,56.210349,113.468202,100.699943,9.728327,-0.110925,8.842957,0.368963,-0.188946
0.087500,0.469607,5.678768,6.744504,900.000000,56.497600,127.484468,12.470608,55.629138,128.422157,100.454391,11.309398,2.336276,10.098637,0.510330,-0.159742
0.100000,0.666380,6.364590,8.514980,900.000000,56.254002,140.307012,15.741897,54.865779,141.638110,100.148417,12.346967,5.310049,11.350492,0.664668,-0.093367
0.112500,0.906494,7.038406,10.426611,900.000000,55.978345,151.132794,19.209098,53.905263,152.930447,99.782266,12.701399,8.640501,12.597770,0.823435,0.014640
0.125000,1.191412,7.697700,12.453329,900.000000,55.670785,159.807747,22.793474,52.743568,162.137466,99.361091,12.289234,12.125143,13.839784,0.977050,0.166204
0.137500,1.521560,8.340075,14.567377,900.000000,55.331499,166.208415,26.411788,51.390019,169.123816,98.895142,11.090002,15.547591,15.075973,1.115675,0.360549
0.150000,1.896295,8.963435,16.739663,900.000000,54.960679,170.243708,29.978838,49.868767,173.782881,98.399336,9.147048,18.697412,16.305965,1.230014,0.594266
0.162500,2.313925,9.566175,18.940151,900.000000,54.558536,171.856197,33.410351,48.219183,176.039062,97.892224,6.562249,21.389111,17.529618,1.312042,0.861630
