Time,phi,theta,psi,p,q,r,phi_dot,theta_dot,psi_dot,V_NED_x,V_NED_y,V_NED_z,Pos_NED_x,Pos_NED_y,Pos_NED_z
0,0,0.716197,0,15.708,1,0,0,1,0,101.269,0,-1.26586,1.26586,0,-0.0158232
0.0125,0.00480638,1.43218,0.255934,15.708,0.999715,0.357249,0.00671098,0.999702,0.357351,101.253,0.700706,-2.44256,2.53152,0.00875882,-0.0463552
0.025,0.0207618,2.14745,0.764418,15.708,0.99886,0.709414,0.0222779,0.998709,0.709978,101.219,2.06064,-3.30533,3.79676,0.0345168,-0.0876718
0.0375,0.0540211,2.86133,1.51867,15.708,0.997436,1.05148,0.0464388,0.996765,1.05313,101.164,3.97171,-3.64704,5.0613,0.0841631,-0.13326
0.05,0.110427,3.57287,2.50858,15.708,0.995444,1.37859,0.0787569,0.993491,1.38218,101.078,6.26625,-3.2976,6.32478,0.162491,-0.17448
0.0625,0.195381,4.28077,3.72087,15.708,0.992884,1.68607,0.118619,0.988422,1.69268,100.955,8.72963,-2.14077,7.58672,0.271612,-0.201239
0.075,0.313724,4.9834,5.13923,15.708,0.989759,1.96956,0.165237,0.981056,1.98039,100.785,11.1176,-0.126732,8.84653,0.410581,-0.202824
0.0875,0.469607,5.67877,6.7445,15.708,0.986069,2.22502,0.217653,0.970912,2.24139,100.561,13.1769,2.72096,10.1036,0.575293,-0.168811
0.1,0.66638,6.36459,8.51498,15.708,0.981818,2.44882,0.274748,0.957588,2.47205,100.279,14.6677,6.30487,11.357,0.758638,-0.0900006
0.1125,0.906494,7.03841,10.4266,15.708,0.977006,2.63776,0.335262,0.940824,2.66914,99.9385,15.3852,10.46,12.6063,0.950953,0.0407495
0.125,1.19141,7.6977,12.4533,15.708,0.971639,2.78917,0.397821,0.920549,2.82983,99.5438,15.179,14.9668,13.8506,1.14069,0.227835
0.1375,1.52156,8.34008,14.5674,15.708,0.965717,2.90088,0.460973,0.896925,2.95177,99.1047,13.9681,19.5696,15.0894,1.31529,0.472455
