Time,phi,theta,psi,p,q,r,phi_dot,theta_dot,psi_dot,V_NED_x,V_NED_y,V_NED_z,Pos_NED_x,Pos_NED_y,Pos_NED_z
0.000000,0.000000,1.432394,0.000000,900.000000,57.295780,0.000000,0.000000,57.295780,0.000000,101.236968,0.000000,-2.355886,2.530924,0.000000,-0.058897
0.025000,0.038392,2.862855,1.017326,900.000000,57.230483,40.646402,1.535668,57.218408,40.693043,101.139071,2.415767,-3.771238,5.059401,0.060394,-0.153178
0.050000,0.164230,4.285382,2.998319,900.000000,57.034741,78.987219,5.033543,56.901104,79.239734,100.934970,6.219441,-3.015017,7.582775,0.215880,-0.228554
0.075000,0.420475,5.689027,5.837365,900.000000,56.709000,112.847643,10.249780,56.145777,113.561830,100.552278,9.880595,0.372013,10.096582,0.462895,-0.219253
0.100000,0.839972,7.057266,9.382081,900.000000,56.254002,140.307012,16.779888,54.729568,141.788629,99.922168,11.880116,5.928680,12.594636,0.759898,-0.071036
0.125000,1.441845,8.369997,13.440771,900.000000,55.670785,159.807747,24.074937,52.509228,162.347615,99.022415,11.213900,12.437131,15.070197,1.040245,0.239892
0.150000,2.228968,9.607975,17.791959,900.000000,54.960679,170.243708,31.484908,49.519125,174.047505,97.906666,7.715479,18.349468,17.517863,1.233132,0.698629
0.175000,3.187295,10.758688,22.195883,900.000000,54.125300,171.022936,38.333061,46.028518,176.156955,96.701928,2.083545,22.321715,19.935412,1.285221,1.256672
0.200000,4.287574,11.821996,26.407751,900.000000,53.166554,162.101231,44.011159,42.532342,168.474718,95.567926,-4.398079,23.655983,22.324610,1.175269,1.848071
0.225000,5.489360,12.813742,30.192150,900.000000,52.086626,143.984658,48.071474,39.669814,151.375967,94.628890,-10.338930,22.489905,24.690332,0.916796,2.410319
0.250000,6.746524,13.766000,33.337499,900.000000,50.887978,117.700845,50.286555,38.090351,125.813956,93.903988,-14.730705,19.671986,27.037932,0.548528,2.902119
0.275000,8.012975,14.723634,35.669079,900.000000,49.573340,84.740687,50.658026,38.305333,93.263219,93.269631,-17.262702,16.385192,29.369672,0.116961,3.311748
0.300000,9.247434,15.737831,37.059271,900.000000,48.145711,46.973784,49.378358,40.567904,55.607674,92.479416,-18.355818,13.674137,31.681658,-0.341935,3.653602
0.325000,10.416743,16.858090,37.434123,900.000000,46.608343,6.542387,46.772383,44.810358,14.994075,91.245527,-18.918213,12.054452,33.962796,-0.814890,3.954963
0.350000,11.498115,18.124302,36.776096,900.000000,44.964741,-34.260113,43.254863,50.648482,-26.321088,89.357478,-19.928776,11.343261,36.196733,-1.313110,4.238545
0.375000,12.481426,19.560437,35.123445,900.000000,43.218651,-73.119278,39.332422,57.445398,-66.106052,86.793963,-22.008240,10.769311,38.366582,-1.863316,4.507777
0.400000,13.372922,21.170912,32.567106,900.000000,41.374054,-107.830898,35.659868,64.418982,-102.253536,83.781058,-25.134231,9.318328,40.461109,-2.491671,4.740736
0.425000,14.201528,22.940259,29.246084,900.000000,39.435152,-136.426027,33.144212,70.773906,-132.840881,80.765405,-28.610516,6.179670,42.480244,-3.206934,4.895227
0.450000,15.028599,24.836154,25.342138,900.000000,37.406367,-157.282662,33.082841,75.835802,-156.157839,78.297511,-31.314477,1.123419,44.437681,-3.989796,4.923313
0.475000,15.961766,26.815097,21.074122,900.000000,35.292321,-169.217755,37.326683,79.157692,-170.720665,76.850962,-32.134373,-5.339795,46.358955,-4.793155,4.789818
0.500000,17.173521,28.829085,16.691681,900.000000,33.097834,-171.554309,48.470196,80.559526,-175.297631,76.633021,-30.422958,-12.089379,48.274781,-5.553729,4.487583
